Date,Open,High,Low,Close,Volume
2017/10/23,156.889999,157.690002,155.5,156.169998,21984300
2017/10/24,156.289993,157.419998,156.199997,157.100006,17757200
2017/10/25,156.910004,157.550003,155.270004,156.410004,21207100
2017/10/26,157.229996,157.830002,156.779999,157.410004,17000500
2017/10/27,159.289993,163.600006,158.699997,163.050003,44454200
2017/10/30,163.889999,168.070007,163.720001,166.720001,44700800
2017/10/31,167.899994,169.649994,166.940002,169.039993,36046800
2017/11/1,169.869995,169.940002,165.610001,166.889999,33637800
2017/11/2,166.600006,168.5,165.279999,168.110001,41393400
2017/11/3,174,174.259995,171.119995,172.5,59398600
2017/11/6,172.369995,174.990005,171.720001,174.25,35026300
2017/11/7,173.910004,175.25,173.600006,174.809998,24361500
2017/11/8,174.660004,176.240005,174.330002,176.240005,24409500
2017/11/9,175.110001,176.100006,173.139999,175.880005,29482600
2017/11/10,175.110001,175.380005,174.270004,174.669998,25145500
2017/11/13,173.5,174.5,173.399994,173.970001,16982100
2017/11/14,173.039993,173.479996,171.179993,171.339996,24782500
2017/11/15,169.970001,170.320007,168.380005,169.080002,29158100
2017/11/16,171.179993,171.869995,170.300003,171.100006,23637500
2017/11/17,171.039993,171.389999,169.639999,170.149994,21899500
2017/11/20,170.289993,170.559998,169.559998,169.979996,16028900
